ID,sp,Stage,Weight  (g),Length (mm),t (°C),Numb_days_before_death,Weight_dead_L_P (g),Stage of death,Number_days_P,Number_days_I,Gender,"Body_length_I
(mm)","Length_front_
wing_I (mm)",Weight_I (g),Condition_I,experiment_length
E-34,Myrmeleon_almohadarum,2,0.02,9.33,27,NA,NA,NA,11,26,w,24.45,25.92,0.05,dev,64
E-59,Myrmeleon_almohadarum,2,0.022,9.12,27,NA,NA,NA,11,26,w,23.5,23.79,0.031,undev,64
E-6,Myrmeleon_almohadarum,2,0.022,8.79,27,40,0.01,2L,NA,NA,NA,NA,NA,NA,NA,64
E-97,Myrmeleon_almohadarum,2,0.022,10.93,27,NA,NA,NA,11,24,w,23,24.21,0.035,dev,64
E-1,Myrmeleon_almohadarum,3,0.043,10.25,27,NA,NA,NA,59,NA,w,22.9,24.2,0.032,dev,64
E-100,Myrmeleon_almohadarum,3,0.049,12.25,27,NA,NA,NA,9,26,w,22.01,22.66,0.02,dev,64
E-102,Myrmeleon_almohadarum,3,0.048,11.58,27,NA,NA,NA,18,21,w,21.31,22.27,0.015,dev,64
E-103,Myrmeleon_almohadarum,3,0.045,12.52,27,NA,NA,NA,6,25,w,22.63,24.67,0.045,dev,64
E-11,Myrmeleon_almohadarum,3,0.036,10.76,27,NA,NA,NA,19,40,w,23.29,26.04,0.048,dev,64
E-12,Myrmeleon_almohadarum,3,0.068,12,27,42,0.056,3L,NA,NA,NA,NA,NA,NA,NA,64
E-13,Myrmeleon_almohadarum,3,0.049,11.67,27,NA,NA,NA,8,22,w,22.07,24.5,0.031,dev,64
E-14,Myrmeleon_almohadarum,3,0.059,12.79,27,NA,NA,NA,10,23,w,23.81,25,0.048,dev,64
E-16,Myrmeleon_almohadarum,3,0.052,11.69,27,NA,NA,NA,18,40,w,22.96,23.5,0.036,dev,64
E-17,Myrmeleon_almohadarum,3,0.096,14.34,27,NA,NA,NA,50,NA,w,22.45,23.76,0.033,dev,64
E-18,Myrmeleon_almohadarum,3,0.062,11.27,27,NA,NA,NA,12,27,w,23.38,26.19,0.04,dev,64
E-20,Myrmeleon_almohadarum,3,0.04,12.22,27,NA,NA,NA,23,38,w,21.67,23.87,0.03,dev,64
E-22,Myrmeleon_almohadarum,3,0.038,10.64,27,NA,NA,NA,25,23,w,23.53,24.62,0.042,dev,64
E-24,Myrmeleon_almohadarum,3,0.059,12.94,27,24,0.018,PP,NA,NA,NA,NA,NA,NA,NA,64
E-25,Myrmeleon_almohadarum,3,0.066,13.74,27,42,0.078,3L,NA,NA,NA,NA,NA,NA,NA,64
E-27,Myrmeleon_almohadarum,3,0.05,11.64,27,15,0.065,3L,NA,NA,NA,NA,NA,NA,NA,64
