ID,sp,length_larva,X,Y,t (°C),P,H (%),larva_size,days_to_pupa,days_to_imago,length_body,length_front_wing,experiment_length
P_1,Myrmeleon_almohadarum,7,36989936,-6443184,25,16L:8D,65,7,55,28,20.9,22.4,99
P_2,Myrmeleon_almohadarum,8,36989936,-6443184,25,16L:8D,65,8,37,27,20.2,25,99
P_3,Myrmeleon_almohadarum,7,36989936,-6443184,25,16L:8D,65,7,30,29,21.2,24.2,99
P_4,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,21,31,21,25.3,99
P_5,Myrmeleon_almohadarum,9,36989936,-6443184,25,16L:8D,65,9,26,29,21,22.2,99
P_6,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,44,36,21.1,23.1,99
P_7,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,28,25,22.1,26,99
P_8,Myrmeleon_almohadarum,11,36989936,-6443184,25,16L:8D,65,11,41,31,22,25.9,99
P_9,Myrmeleon_almohadarum,9,36989936,-6443184,25,16L:8D,65,9,56,29,22.8,24.8,99
P_10,Myrmeleon_almohadarum,9,36989936,-6443184,25,16L:8D,65,9,43,33,19.8,24.4,99
P_12,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,34,28,20.5,24.4,99
P_14,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,33,29,21.1,25.1,99
P_15,Myrmeleon_almohadarum,10,36989936,-6443184,25,16L:8D,65,10,40,25,21,23.8,99
R_4,Myrmeleon_almohadarum,11,36997577,-6513787,25,16L:8D,65,11,34,35,22.5,25.2,99
R_10,Myrmeleon_almohadarum,11,36997577,-6513787,25,16L:8D,65,11,13,28,19.9,22.8,99
R_11,Myrmeleon_almohadarum,9,36997577,-6513787,25,16L:8D,65,9,13,28,19.1,23.9,99
R_14,Myrmeleon_almohadarum,8,36997577,-6513787,25,16L:8D,65,8,63,33,20,23,99
R_1,Myrmeleon_gerlinda,6,36997577,-6513787,25,16L:8D,65,6,69,30,23.5,25.6,99
P_11,Myrmeleon_hyalinus,11,36989936,-6443184,25,16L:8D,65,11,8,33,19.2,19.1,99
P_13,Myrmeleon_hyalinus,10,36989936,-6443184,25,16L:8D,65,10,12,31,17.2,19,99
R_2,Myrmeleon_hyalinus,8,36997577,-6513787,25,16L:8D,65,8,20,35,18.9,19,99
R_3,Myrmeleon_hyalinus,7,36997577,-6513787,25,16L:8D,65,7,13,28,15.4,18.1,99
R_5,Myrmeleon_hyalinus,8,36997577,-6513787,25,16L:8D,65,8,21,31,18,20.1,99
R_6,Myrmeleon_hyalinus,11,36997577,-6513787,25,16L:8D,65,11,14,29,20,22.9,99
R_7,Myrmeleon_hyalinus,11,36997577,-6513787,25,16L:8D,65,11,21,36,21,24.4,99
R_8,Myrmeleon_hyalinus,11,36997577,-6513787,25,16L:8D,65,11,20,35,18.8,21.7,99
R_9,Myrmeleon_hyalinus,10,36997577,-6513787,25,16L:8D,65,10,13,32,16.3,20,99
R_12,Myrmeleon_hyalinus,8,36997577,-6513787,25,16L:8D,65,8,29,28,19.1,22,99
R_13,Myrmeleon_hyalinus,9,36997577,-6513787,25,16L:8D,65,9,14,29,18,19.2,99
R_15,Myrmeleon_hyalinus,10,36997577,-6513787,25,16L:8D,65,10,14,34,17,20.1,99
