ID,sp,Stage,t (¡C),Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61
E-1,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,
E-100,Myrmeleon_almohadarum,3,27,F,F,F,F0,F,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-102,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,F0,F0,F,F0,F,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-103,Myrmeleon_almohadarum,3,27,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-11,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F,F,F0,F,F0,F0,F0,F0,F0,F0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-12,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F,F0,F,F0,F,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,
E-13,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-14,Myrmeleon_almohadarum,3,27,F,F,F0,F0,F,F,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-16,Myrmeleon_almohadarum,3,27,F,F,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-17,Myrmeleon_almohadarum,3,27,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,
E-18,Myrmeleon_almohadarum,3,27,F,F,F,F,F0,F0,F,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-20,Myrmeleon_almohadarum,3,27,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-22,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-24,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-25,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,
E-27,Myrmeleon_almohadarum,3,27,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-28,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-31,Myrmeleon_almohadarum,3,27,F,F,F,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-32,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-33,Myrmeleon_almohadarum,3,27,F,F,F,F,F0,F0,F,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-34,Myrmeleon_almohadarum,2,27,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-37,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-40,Myrmeleon_almohadarum,3,27,F,F,F,F0,F,F,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-43,Myrmeleon_almohadarum,3,27,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-45,Myrmeleon_almohadarum,3,27,F,F,F,F,F,F,F,F,F0,F0,F0,F0,F,F0,F0,F,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-48,Myrmeleon_almohadarum,3,27,F,F,F,F,F0,F0,F,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F0,F0,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-5,Myrmeleon_almohadarum,3,27,F,F,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F,F0,F0,F,F0,F0,F0,F,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,,,,,,,,,,,,,
