ID,sp,t (¡C),day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37
P_1,Myrmeleon_almohadarum,25.00,45.00,34.00,34.00,43.00,37.00,43.00,41.00,47.00,42.00,44.00,46.00,35.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_2,Myrmeleon_almohadarum,25.00,38.00,35.00,25.00,35.00,31.00,34.00,34.00,36.00,30.00,40.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_3,Myrmeleon_almohadarum,25.00,40.00,36.00,40.00,41.00,43.00,53.00,54.00,56.00,44.00,55.00,56.00,57.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_4,Myrmeleon_almohadarum,25.00,35.00,37.00,32.00,37.00,45.00,47.00,43.00,51.00,7.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_5,Myrmeleon_almohadarum,25.00,50.00,44.00,52.00,61.00,59.00,67.00,46.00,67.00,56.00,52.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_6,Myrmeleon_almohadarum,25.00,35.00,36.00,33.00,44.00,40.00,44.00,42.00,56.00,47.00,50.00,45.00,28.00,42.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_7,Myrmeleon_almohadarum,25.00,60.00,45.00,48.00,52.00,53.00,53.00,54.00,62.00,64.00,54.00,61.00,45.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_8,Myrmeleon_almohadarum,25.00,38.00,32.00,40.00,42.00,39.00,39.00,49.00,57.00,43.00,53.00,54.00,60.00,34.00,42.00,52.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_9,Myrmeleon_almohadarum,25.00,45.00,39.00,44.00,45.00,52.00,55.00,57.00,59.00,65.00,56.00,60.00,70.00,46.00,56.00,51.00,65.00,70.00,61.00,64.00,60.00,54.00,0.00,0.00,66.00,0.00,21.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_10,Myrmeleon_almohadarum,25.00,52.00,30.00,45.00,50.00,52.00,49.00,49.00,56.00,53.00,54.00,60.00,66.00,46.00,56.00,60.00,58.00,65.00,40.00,49.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
