ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_10,Myrmeleon_hyalinus,3,29,0,23.78,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_100,Myrmeleon_hyalinus,3,29,58.79,77.53,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_103,Myrmeleon_hyalinus,1,29,0,0,0,18.08,23.84,38.26,46.94,50.3,49.48,51.38,NA,44.65,0,0,27.21,NA,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,
D_104,Myrmeleon_hyalinus,2,29,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_106,Myrmeleon_hyalinus,3,29,0,35.36,0,0,0,0,P,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,
D_108,Myrmeleon_hyalinus,3,29,29.63,0,0,0,0,P,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_110,Myrmeleon_hyalinus,3,29,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_112,Myrmeleon_hyalinus,3,29,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_114,Myrmeleon_hyalinus,2,29,0,38.35,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_117,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_119,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_12,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_121,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
