ID,sp,Stage,t (¡C),Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64
E-1,Myrmeleon_almohadarum,3,27,44.7,46.22,50,48.53,0,0,0,0,45.13,42.35,34.08,12.65,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,,
E-10,Myrmeleon_almohadarum,2,27-39,42.94,37.33,32.99,57.41,55.01,45.33,61.09,37.69,43.96,44.27,34.22,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-100,Myrmeleon_almohadarum,3,27,28.8,25.75,22.02,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-101,Myrmeleon_almohadarum,3,27-39,38.79,39.43,41.35,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-102,Myrmeleon_almohadarum,3,27,23.93,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
E-103,Myrmeleon_almohadarum,3,27,44.91,43.67,41.78,0,P,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-104,Myrmeleon_almohadarum,3,27-39,53.42,27.87,59.4,59.07,57.63,56.37,47.53,48.91,53.76,59.65,59.01,0,0,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
E-11,Myrmeleon_almohadarum,3,27,41.86,43.78,44.92,44.32,0,0,0,36.67,23.12,25.73,22.41,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,
E-12,Myrmeleon_almohadarum,3,27,31.52,22.67,0,0,0,0,0,0,30.54,0,0,0,19.26,20.08,20.94,20.38,23.13,35.84,19.8,20.34,25.02,25.43,25.8,21.85,17.47,12.13,6.23,0,0,0,0,17.71,19.05,23.51,27.14,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,
E-13,Myrmeleon_almohadarum,3,27,26.79,19.65,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
